name,address,website,phoneNumber,reviews_count,reviews_average
,,,,128,4.6
MODERN VET AND PET CARE POLYCLINICS,"Panthachowk, adjacent to cars 24, near delhi public school, srinagar, Srinagar, Jammu and Kashmir 191101",facebook.com,060054 58545,101,4.9
RJ PET CARE & CLINIC,"Ikhrajpora, Rajbagh, Srinagar, Jammu and Kashmir 190008",instagram.com,070066 08316,93,4.6
Government Veterinary Hospital Nowhata,"Hawal, Near Islamiya College, Beside Jammu and Kashmir Bank, Srinagar, Jammu and Kashmir 190002",jkanimalhusbandry.net,,44,3.4
Petzy - Pet Shop & Clinic,"Kanitar Sadrebal, Hazratbal Rd, Srinagar, Jammu and Kashmir 190006",sites.google.com,070064 22894,30,4.1
Department of Animal Husbandry,"Habak, Nasim Bagh, Srinagar, Jammu and Kashmir 190001",jkanimalhusbandry.net,0194 242 9955,23,3.9
PetAmor,"Salfia Stop, opposite J&K Bank, Botshah Mohalla, Lal Bazar, Srinagar, Jammu and Kashmir 190023",petamor.online,099067 91010,33,4.9
The Pets Luxury,"Mirza kamil sahib hawal kalnatpora, near standard public high school, Downtown, Srinagar, Jammu and Kashmir 190011",instagram.com,060053 31654,59,4.9
Dr. Anwar Hussain Nagoo,"5V4H+6R4, Bagh, Shalimar,, Shalimar, Rainawari, Srinagar, Jammu and Kashmir 190025",kashvet.org,,16,3.9
Dr Khalid Omer Vet,"near saket mall, saket, Ummer Abad, Srinagar, Jammu and Kashmir 190012",api.whatsapp.com,070429 29959,,
